Erman Ayday,CSDS233,3,4,"Feb 2nd, 2021","It is clear that Professor Ayday cares about his students. However, he is not the best lecturer and grades are too dependent on the midterm and final (each weighted to a 70% average). Assignments are helpful, but some TAs graded pretty hard. Attend SI sections! The SI was able to guess a bunch of the problems on the midterm/final.",
Erman Ayday,CSDS233,3,5,"Dec 15th, 2020","Very lecture heavy. All of the grade is based on programming projects, a midterm and final (30%). TA's in the class were tough graders on the programming projects",
Erman Ayday,CSDS233,5,4,"Dec 11th, 2020","Go to lecture, try to do the problems he poses in class, try to follow along with lectures. You will learn a lot if you spend the time actually using your brain. I really enjoyed this class and the professor. I do know most of the reviews on here are from when he first started teaching, but he is much much much better now.",
Erman Ayday,CSDS233,2,4,"Dec 11th, 2020","IDK if it was Zoom learning, but this class was HARD. 6 Assignments + Midterm + Final  YOUR ENTIRE GRADE. Get ready to get really good at programming completely on your own with little help/practice during class.",
Erman Ayday,CSDS233,3,5,"Dec 9th, 2020","Majority of your grade is determined by two difficult exams curved to an average of 70, so don't expect much help from that. Lectures are fair with Prof Ayday reading off his slides. Homework assignments aren't bad and do actually help you understand data structures. Overall a mediocre class that puts a lot of pressure on the two exams.",
Erman Ayday,CSDS233,3,5,"Nov 3rd, 2020",Midterm was hard with the class average being in the 70's but he did not grade on the curve. Assignments are alright as you get 2 weeks to do it. Prof was not accommodating to classes being online (at least for international students).,
Erman Ayday,CSDS233,5,3,"Jul 17th, 2020","Prof Ayday is a great professor, the lecture is a bit hard to understand, but the test and final are easy if you do the project and quizzes after class.",
Erman Ayday,CSDS356,5,3,"May 9th, 2020","I took Data Privacy with Erman, which was overall a great class. We had a semester-long project in anything related to Data Privacy, and Erman was always willing to help answer questions or meet with us if we were lost. Lectures were an intro to various data privacy issues, such as voting, genomics, etc, and were quite interesting.",
Erman Ayday,CSDS233,3,4,"Apr 7th, 2020",He's a 5/10 lecturer and the projects/hw are pretty vague. I had to ask TAs for clarification for almost all of them. The midterm was not as bad as everyone on here makes it out to be. The SI guessed most of the questions. The final was extremely difficult though. He's not great but at least you learn the material elsewhere and still do ok.,
Erman Ayday,CSDS233,3,5,"Nov 20th, 2019","He is an ok teacher and he sometimes throws in jokes that are kinda funny, but in my opinion, his class is quite difficult. Most of your grade is based on his midterm and his finals, and his midterm I thought was decently ok, but I ended up doing poorly on it because he was extremely strict on grading the questions. But he's overall decent.",
Erman Ayday,CSDS233,2,3,"Nov 20th, 2019","Erman isn't a very good lecturer: he doesn't add anything to the discussion that isn't already on the slides posted on Canvas. The only reason people actually show up to class is because of the pop quizzes. Written assignments/projects vague, very behind on grading, also very dry person in general. However the quizzes/tests this semester are easy.",
